Species	A-0-2	A-0-3	A-0-4	A-0-5	A-3-2	A-3-3	A-3-4	A-3-5	A-4-2	A-4-3	A-4-4	A-4-5	A-5-2	A-5-3	A-5-4	A-5-5	A-6-2	A-6-3	A-6-4	A-6-5	B-0-1	B-0-2	B-0-3	B-0-5	B-3-1	B-3-2	B-3-3	B-3-5	B-4-1	B-4-2	B-4-3	B-4-5	B-5-1	B-5-2	B-5-3	B-5-5	B-6-1	B-6-2	B-6-3	B-6-5
species001	0	0	0	0	0.007380074	0	0.014760148	0	0	0.003690037	0	0	0	0	0.007138313	0	0.014760148	0	0.003448276	0	0	0	0	0	0	0.003690037	0.003448276	0.007380074	0.003690037	0	0	0.007380074	0	0	0.02189846	0.003690037	0	0.003448276	0	0
species002	0.054496352	0.048407688	0.052574355	0.051129349	0	0.001122334	0.005289001	0.0125	0	0	0	0	0	0.002083333	0	0.002083333	0.003205668	0.005611672	0	0.002083333	0.112044052	0.068602694	0.057063692	0.07276936	0.002083333	0.001122334	0.001122334	0	0	0.001122334	0	0	0	0.001122334	0.003205668	0	0	0	0.002083333	0
species003	0	0	0.003225806	0	0	0	0	0	0	0	0	0	0.007692308	0	0	0	0	0	0	0	0	0.006451613	0	0	0	0	0	0.003846154	0	0	0	0	0	0	0	0.003846154	0	0.003846154	0	0
species004	0.005633803	0.002816901	0.011267606	0.005633803	0.011267606	0	0.002816901	0.002816901	0	0.002816901	0	0	0	0	0	0	0.005633803	0	0.002816901	0.002816901	0.011267606	0.002816901	0.01708751	0.017645815	0	0	0	0	0.002816901	0	0	0	0	0	0	0	0.002816901	0	0.002816901	0.002816901
species005	0.01320132	0.00990099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00330033	0	0	0	0	0
species006	0.01509434	0	0	0.00754717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003773585	0.003773585	0.00754717	0.011320755	0	0	0	0	0	0	0	0	0	0	0	0.00754717	0	0	0	0
species007	0	0.00872093	0.011627907	0.005813953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species008	0.01010101	0.01010101	0.015151515	0.012626263	0	0	0	0	0	0.005050505	0	0	0	0	0	0.026479076	0	0.002525253	0	0.005050505	0.01010101	0.007575758	0.002525253	0.005050505	0	0	0.003571429	0	0	0	0	0	0.01010101	0	0	0.002525253	0.002525253	0	0	0
species009	0.006374785	0.027516587	0.034966285	0.020792465	0	0	0	0	0	0.003030303	0	0	0	0	0	0	0	0	0	0	0.012435391	0.003030303	0.011736715	0.009405088	0	0	0	0	0	0.006025447	0	0	0	0	0	0	0	0	0	0
species010	0.051179355	0.059277136	0.068075504	0.026016867	0.056160501	0.047551153	0.040061923	0.047981289	0.010210135	0.037667612	0.021363602	0.044991796	0.041182442	0.050421455	0.048220079	0.054849771	0.054524867	0.040184025	0.029083129	0.047506197	0.014937759	0.012890612	0.006462933	0.015312808	0.030001988	0.01940334	0.031925693	0.013307545	0.038057161	0.048609844	0.029114989	0.041436727	0.039351368	0.050817401	0.090693583	0.044182245	0.133145128	0.11010641	0.104331773	0.160903397
