Group1	Group2	Group3	value
A	3	x	6.363100484
A	3	x	6.025995068
A	3	y	8.118006854
A	3	y	6.938305749
A	4	x	6.876574951
A	4	x	7.477328882
A	4	y	7.548430117
A	4	y	6.512143888
D	3	x	7.651228805
D	3	x	7.232152297
D	3	y	7.422755375
D	3	y	8.249832116
D	4	x	7.935228865
D	4	x	8.43472757
D	4	y	8.710687991
D	4	y	8.351770666
B	3	x	6.227912851
B	3	x	4.465615599
B	3	y	5.795431857
B	3	y	6.420203741
B	4	x	6.162149492
B	4	x	7.080503837
B	4	y	8.537060754
B	4	y	5.844482843
C	3	x	5.746574283
C	3	x	5.657597494
C	3	y	8.381743563
C	3	y	5.649791306
C	4	x	5.378821505
C	4	x	5.721631483
C	4	y	5.820938154
C	4	y	5.632422753
